index,time,lat,lon,x,y,z,m,Day or night,Water or not,Hills or not
1169,2021/04/17 01:24:47.249320,26:55:23.7,82:10:55.4,30.503942489624,-12.9956216812134,48.1359024047852,15.0611456539391,0,0,0
1170,2021/04/17 01:24:55.125650,27:17:37.2,82:33:11.4,30.3613891601562,-12.980052947998,48.6615791320801,15.1223256577371,0,0,0
1171,2021/04/17 01:25:03.786990,27:39:46.5,82:55:37.2,29.5200862884521,-12.8549928665161,48.888500213623,15.0763100735008,0,0,0
1172,2021/04/17 01:25:11.663182,28:01:51.6,83:18:13.0,29.5742721557617,-12.8788480758667,49.2726631164551,15.1369642929767,0,0,1
1173,2021/04/17 01:25:19.538677,28:23:52.2,83:40:58.8,29.4613246917725,-12.8001956939697,49.6877861022949,15.1839436147601,0,0,1
1174,2021/04/17 01:25:28.169942,28:48:32.5,84:06:47.8,29.4191627502441,-12.6477365493774,49.9976043701172,15.2193152698817,0,0,1
1175,2021/04/17 01:25:36.044529,29:10:23.4,84:29:55.9,29.2785739898682,-12.6312160491943,50.2212409973145,15.2390666932576,0,0,1
1176,2021/04/17 01:25:43.920654,29:29:26.5,84:50:19.3,29.1858921051025,-12.6016302108765,50.4803924560547,15.2676225975847,0,0,1
1177,2021/04/17 01:25:52.552298,29:53:50.9,85:16:44.5,29.1639995574951,-12.5402851104736,51.0123596191406,15.340449242728,0,0,1
1178,2021/04/17 01:26:00.427633,30:15:27.3,85:40:25.4,29.1144962310791,-12.4002885818481,51.3456611633301,15.3796407863225,0,0,1
1179,2021/04/17 01:26:08.303427,30:36:58.6,86:04:17.6,28.9477767944336,-12.3044242858887,51.9560241699219,15.4511833362842,0,0,1
1180,2021/04/17 01:26:16.937892,30:58:24.8,86:28:21.4,28.6655197143555,-12.2928152084351,52.3222198486328,15.4813372553214,0,0,1
1181,2021/04/17 01:26:24.813524,31:19:45.7,86:52:37.0,28.487813949585,-12.2052984237671,52.6049003601074,15.5054443519526,0,0,0.5
1182,2021/04/17 01:26:32.682691,31:41:01.3,87:17:04.5,28.4539394378662,-12.04172706604,53.0466346740723,15.561772649731,0,0,0.5
1183,2021/04/17 01:26:41.322837,32:04:49.7,87:44:49.9,28.2202987670898,-11.9699211120605,53.4197158813477,15.5957723569985,0,0,0.5
1184,2021/04/17 01:26:49.198501,32:25:53.3,88:09:43.6,28.0398426055908,-11.9357929229736,53.9363861083984,15.6565198194677,0,0,0.5
1185,2021/04/17 01:26:57.075101,32:46:51.3,88:34:49.8,27.915470123291,-12.0776777267456,54.2959976196289,15.7044696714334,0,0,0.5
1186,2021/04/17 01:27:05.722651,33:07:43.3,89:00:08.8,27.8194561004639,-12.1237497329712,54.628246307373,15.7475383604642,0,0,0.5
1187,2021/04/17 01:27:13.598266,33:28:29.3,89:25:40.9,27.5022888183594,-12.1967401504517,54.9502906799316,15.7737303235834,0,0,0.5
1188,2021/04/17 01:27:21.471736,33:49:09.2,89:51:26.2,27.2208595275879,-12.1426277160645,55.4025382995606,15.8180691789944,0,0,0.5
1189,2021/04/17 01:27:30.119536,34:12:16.5,90:20:40.8,27.0734100341797,-11.9655055999756,55.8578796386719,15.8690424803664,0,0,0.5
1190,2021/04/17 01:27:38.001720,34:30:10.0,90:43:37.5,26.8819828033447,-11.7432804107666,56.0411262512207,15.8755362169929,0,0,0.5
1191,2021/04/17 01:27:45.877378,34:50:30.6,91:10:03.8,26.8460807800293,-11.8209238052368,56.2278060913086,15.9030761168582,0,0,0.5
1192,2021/04/17 01:27:54.497120,35:13:15.9,91:40:05.4,26.7318935394287,-11.8153429031372,56.7525825500488,15.9726774395158,0,0,0.5
1193,2021/04/17 01:28:02.390805,35:33:22.2,92:07:01.9,26.3761386871338,-11.8236179351807,57.0676422119141,15.9950693410415,0,0,0.5
1194,2021/04/17 01:28:10.293931,35:53:21.5,92:34:13.1,26.2522296905518,-11.7426071166992,57.3846397399902,16.0312738107607,0,0,0.5
1195,2021/04/17 01:28:18.911712,36:13:13.7,93:01:39.0,26.0504531860352,-11.6810541152954,57.3534660339355,16.011051222632,0,0,0.5
1196,2021/04/17 01:28:26.785272,36:32:58.6,93:29:20.0,25.8847789764404,-11.4919528961182,57.6780166625977,16.0426471240701,0,0,0.5
1197,2021/04/17 01:28:34.664208,36:52:36.1,93:57:16.1,25.7262783050537,-11.4820718765259,58.2227325439453,16.1132151761482,0,0,0.5
1198,2021/04/17 01:28:43.301364,37:14:31.7,94:29:00.2,25.6846141815186,-11.4240894317627,58.4680938720703,16.1454539323645,0,0,0.5
1199,2021/04/17 01:28:51.175611,37:33:52.8,94:57:29.4,25.5342884063721,-11.4320697784424,58.5714530944824,16.1513083782989,0,0,0.5
1200,2021/04/17 01:28:59.052462,37:53:06.1,95:26:14.5,25.4961185455322,-11.5823287963867,59.2298698425293,16.2517219575452,0,0,0.5
1201,2021/04/17 01:29:07.683401,38:12:11.3,95:55:15.7,25.2936553955078,-11.5020427703857,59.514575958252,16.2790259830462,0,0,0.5
1202,2021/04/17 01:29:15.557020,38:31:08.2,96:24:33.1,25.0087108612061,-11.5720071792603,59.9757118225098,16.3321619965338,0,0,0.5
1203,2021/04/17 01:29:23.433518,38:49:56.8,96:54:07.1,24.8297157287598,-11.4649295806885,60.2383728027344,16.3573512022801,0,0,0.5
1204,2021/04/17 01:29:32.099530,39:10:56.1,97:27:42.9,24.6228981018066,-11.4063291549683,60.3871994018555,16.3653010502914,0,0,0.5
1205,2021/04/17 01:29:39.972497,39:27:07.9,97:54:05.5,24.398530960083,-11.415699005127,60.7469444274902,16.4060132545246,0,0,0.5
1206,2021/04/17 01:29:47.851765,39:45:30.2,98:24:30.3,24.1904830932617,-11.293080329895,61.0080451965332,16.4293825758952,0,0,0.5
1207,2021/04/17 01:29:56.482712,40:05:59.3,98:59:03.9,24.0880489349365,-11.3478097915649,61.1322784423828,16.4435319232424,0,0,0.5
1208,2021/04/17 01:30:04.357319,40:24:02.0,99:30:05.7,23.8937854766846,-11.3339691162109,61.3475799560547,16.4641368690511,0,0,0.5
1209,2021/04/17 01:30:12.233747,40:41:55.3,100:01:25.3,23.711483001709,-11.3337507247925,61.5114784240723,16.4782085263707,0,0,0.5
1210,2021/04/17 01:30:20.866463,40:59:38.8,100:33:02.8,23.5582447052002,-11.3168039321899,61.7204513549805,16.5004285903881,0,0,0.5
1211,2021/04/17 01:30:28.740350,41:17:12.4,101:04:58.4,23.3339729309082,-11.0602321624756,62.1402702331543,16.5440709957437,0,0,0.5
