index,time,lat,lon,x,y,z,m,d/n,w?,h?
900,2021/04/17 00:48:20.122228,-48:57:02.2,-46:50:38.1,4.04380989074707,-8.940073013305664,9.207815170288086,5.6572899257511455,,,
901,2021/04/17 00:48:28.747952,-49:06:59.2,-46:07:57.1,4.061099052429199,-9.025565147399902,8.90202522277832,5.61678007751885,,,
902,2021/04/17 00:48:36.622853,-49:16:38.8,-45:24:58.3,4.208901405334473,-8.97840690612793,8.929159164428711,5.625821707071591,1,1,0
903,2021/04/17 00:48:44.498268,-49:26:00.8,-44:41:42.2,4.112564563751221,-8.891132354736328,8.518891334533691,5.523720486490811,,,
904,2021/04/17 00:48:53.131604,-49:36:11.8,-43:52:41.1,4.141469478607178,-8.807113647460938,8.565044403076172,5.518691292838124,,,
905,2021/04/17 00:49:01.005950,-49:43:51.2,-43:14:19.0,4.220338344573975,-8.717938423156738,8.528905868530273,5.501993122337318,1,1,0
906,2021/04/17 00:49:08.883220,-49:52:19.2,-42:30:12.8,4.255093574523926,-8.860161781311035,8.44448471069336,5.51694619195743,,,
907,2021/04/17 00:49:17.513830,-50:01:28.6,-41:40:16.8,4.240745544433594,-8.720552444458008,8.640202522277832,5.525338265676145,,,
908,2021/04/17 00:49:25.381614,-50:09:17.2,-40:55:37.2,4.388753890991211,-8.627909660339355,8.739497184753418,5.540535739362016,1,1,0
909,2021/04/17 00:49:33.258061,-50:16:47.0,-40:10:42.7,4.554941177368164,-8.68377685546875,8.713638305664062,5.562191764448422,,,
910,2021/04/17 00:49:41.905631,-50:23:57.8,-39:25:33.7,4.714565753936768,-8.644229888916016,8.662195205688477,5.561119566506576,,,
911,2021/04/17 00:49:49.781192,-50:30:49.3,-38:40:10.7,4.790783405303955,-8.689701080322266,8.287531852722168,5.508479424150287,1,1,0
912,2021/04/17 00:49:57.655887,-50:37:21.6,-37:54:34.3,4.890146732330322,-8.733023643493652,8.229172706604004,5.51673711960023,,,
913,2021/04/17 00:50:06.281391,-50:44:19.5,-37:03:00.3,4.910757541656494,-8.710204124450684,8.09688949584961,5.490814585898536,,,
914,2021/04/17 00:50:14.155133,-50:50:10.1,-36:16:57.1,5.017651557922363,-8.750049591064453,8.129786491394043,5.51602624149206,1,1,0
915,2021/04/17 00:50:22.031810,-50:55:40.8,-35:30:42.1,5.10971212387085,-8.776217460632324,8.102120399475098,5.5263256470859865,,,
916,2021/04/17 00:50:30.663990,-51:00:51.6,-34:44:16.1,5.271391868591309,-8.657125473022461,7.946039199829102,5.494462003060121,,,
917,2021/04/17 00:50:38.536880,-51:05:42.2,-33:57:39.5,5.2833757400512695,-8.559791564941406,7.707143783569336,5.435434057871303,1,1,0
918,2021/04/17 00:50:46.413797,-51:10:12.5,-33:10:53.1,5.3057780265808105,-8.539864540100098,7.964439392089844,5.479403535664277,,,
919,2021/04/17 00:50:55.043831,-51:14:52.4,-32:18:05.0,5.37225866317749,-8.658674240112305,7.783911228179932,5.478406537036908,,,
920,2021/04/17 00:51:02.917277,-51:18:12.0,-31:36:53.5,5.510447025299072,-8.710864067077637,7.957416534423828,5.5349254874347915,1,1,0
921,2021/04/17 00:51:10.794296,-51:21:41.0,-30:49:41.6,5.759812355041504,-8.894662857055664,7.821511745452881,5.577058693288928,,,
922,2021/04/17 00:51:19.428905,-51:25:11.3,-29:56:27.3,5.7190985679626465,-8.790582656860352,7.818953990936279,5.551780651910184,,,
923,2021/04/17 00:51:27.305304,-51:27:56.2,-29:09:01.1,5.687874794006348,-8.565964698791504,7.660946369171143,5.478347599775022,1,1,0
924,2021/04/17 00:51:35.185338,-51:30:20.2,-28:21:29.4,5.873934745788574,-8.609004020690918,7.497699737548828,5.482961718198215,,,
925,2021/04/17 00:51:43.842252,-51:32:23.2,-27:33:52.9,5.907766819000244,-8.535331726074219,7.572622299194336,5.485894488424649,,,
926,2021/04/17 00:51:51.712411,-51:34:05.4,-26:46:12.2,5.9427409172058105,-8.459993362426758,7.7579169273376465,5.50767998560743,1,1,0
927,2021/04/17 00:51:59.588603,-51:35:26.5,-25:58:28.3,6.017123699188232,-8.462114334106445,7.818614482879639,5.528162862663157,,,
928,2021/04/17 00:52:08.230181,-51:36:32.5,-25:04:43.3,6.1218953132629395,-8.38516616821289,7.737351894378662,5.514071167860673,,,
929,2021/04/17 00:52:16.104000,-51:37:08.8,-24:16:54.8,6.235711574554443,-8.228424072265625,7.731180667877197,5.499859126677534,1,1,0
930,2021/04/17 00:52:23.980400,-51:37:23.3,-23:35:04.1,6.150169849395752,-8.247617721557617,7.927941799163818,5.5255019403337,,,
931,2021/04/17 00:52:32.610413,-51:37:18.1,-22:41:15.8,6.270196437835693,-8.35560417175293,7.997764587402344,5.573082159493217,,,
932,2021/04/17 00:52:40.483998,-51:36:51.0,-21:53:26.8,6.266693592071533,-8.389153480529785,7.837375164031982,5.551297417737434,1,1,0
933,2021/04/17 00:52:48.352922,-51:36:02.9,-21:05:39.2,6.445742130279541,-8.198873519897461,7.716325759887695,5.521248949850265,,,
934,2021/04/17 00:52:56.994740,-51:34:53.7,-20:17:53.8,6.5213799476623535,-8.209755897521973,7.830798625946045,5.553201577164919,,,
935,2021/04/17 00:53:04.861672,-51:33:23.4,-19:30:11.2,6.536981105804443,-8.020344734191895,7.850978851318359,5.525456872675915,1,1,0
936,2021/04/17 00:53:12.739228,-51:31:32.1,-18:42:32.4,6.841354846954346,-8.03072738647461,7.828306674957275,5.567532188065381,,,
937,2021/04/17 00:53:21.371971,-51:29:01.9,-17:49:01.5,6.965279579162598,-7.929959297180176,7.725748538970947,5.551435546282299,,,
938,2021/04/17 00:53:29.245217,-51:26:26.2,-17:01:33.0,7.223662376403809,-7.99188232421875,7.43133544921875,5.5534861929217705,1,1,0
939,2021/04/17 00:53:37.124517,-51:23:29.7,-16:14:10.4,7.257855415344238,-8.011197090148926,7.343038082122803,5.5480739178298055,,,
940,2021/04/17 00:53:45.761750,-51:20:12.4,-15:26:54.6,7.297130584716797,-7.915285587310791,7.648534297943115,5.587044216213507,,,
941,2021/04/17 00:53:53.634594,-51:16:34.5,-14:39:46.2,7.314786434173584,-7.8646697998046875,7.295302391052246,5.5241971751262735,1,1,0
942,2021/04/17 00:54:01.509367,-51:12:36.1,-13:52:46.0,7.274301052093506,-7.846768856048584,7.28309965133667,5.51270646568673,,,
943,2021/04/17 00:54:10.227947,-51:07:43.4,-13:00:03.8,7.450382709503174,-7.784443378448486,7.172904968261719,5.5129866879529965,,,
944,2021/04/17 00:54:18.104801,-51:03:01.7,-12:13:23.0,7.573750019073486,-7.700610160827637,7.114928245544434,5.509990548320841,1,1,0
945,2021/04/17 00:54:25.978517,-50:58:38.6,-11:32:40.8,7.516075611114502,-7.688291549682617,7.281474590301514,5.524639772358766,,,
946,2021/04/17 00:54:34.592863,-50:52:37.9,-10:40:32.9,7.561396598815918,-7.724330425262451,7.248385429382324,5.532905662077981,,,
947,2021/04/17 00:54:42.461538,-50:46:56.0,-9:54:24.7,7.673160076141357,-7.676082611083984,7.453230857849121,5.575812774330874,1,1,0
